name,movie_url,rate,rating_people,director,writer,actor,genre,place,language,year,movietime,comment,review
雪盲,https://movie.douban.com/subject/2024935/,5.8,4535,多米尼克·塞纳,Jon Hoeber,凯特·贝金赛尔/盖布瑞·马赫特/汤姆·斯凯里特/哥伦布·绍特/艾历克斯·奥洛林,动作/悬疑/惊悚/犯罪,美国/加拿大/法国,英语/俄语,2009,101分钟,(全部957条),(全部29条)
光荣岁月,https://movie.douban.com/subject/1786231/,7.7,4631,拉契得·波查拉,拉契得·波查拉,贾梅尔·杜布兹/萨米·纳塞利/罗什迪·泽姆/塞米·鲍亚吉拉/伯纳德·布兰卡恩/马修·西蒙奈特/阿萨德·包伯/贝诺提·吉欧斯/梅拉尼·罗兰/安托万·夏佩/AurélieEltvedt/托马斯·朗曼/蒂博·德·蒙塔朗贝尔/DioucoundaKoma/PhilippeBeglia/MomoDebbouze/AbdelkimBouchareb/AbdelhamidIdjaini/AbdeslamArbaoui/JuliedeBona/OthmanIlyassa/MohamedNesrate,剧情/战争,阿尔及利亚/法国/摩洛哥/比利时,法语/阿拉伯语,2006,128分钟,(全部833条),(全部50条)
樱桃,https://movie.douban.com/subject/4146683/,7.6,4031,张加贝,鲍十,苗圃/妥国权/龙丽/张旖欣/米乐/马理文/谭秀珍,剧情,中国大陆/日本,云南方言,2008,102分钟,(全部899条),(全部70条)
不可告人,https://movie.douban.com/subject/1917086/,7.1,4470,吉约姆·卡内,吉约姆·卡内,弗朗索瓦·克鲁塞/玛丽-乔西·克罗兹/安德烈·杜索里埃/克里斯汀·斯科特·托马斯,剧情/悬疑/惊悚/犯罪,法国,法语,2006,131分钟,(全部1081条),(全部18条)
兽餐,https://movie.douban.com/subject/1853181/,6.3,4768,约翰·古拉格,Marcus Dunstan,克里丝塔·艾伦/娜维·罗华/巴萨扎·盖提/珍妮·瓦德,喜剧/动作/惊悚/恐怖,美国,英语,2005,95分钟,(全部1005条),(全部22条)
最后一吻,https://movie.douban.com/subject/1815687/,7.2,4365,托尼·戈德温,保罗·哈吉斯,扎克·布拉夫/杰茜达·芭瑞特/蕾切尔·比尔森/卡西·阿弗莱克/艾瑞克·克里斯蒂安·奥森/玛丽·谢尔顿/布莱思·丹纳/汤姆·威尔金森,剧情/喜剧/爱情,美国,英语,2006,115分钟,(全部1007条),(全部84条)
施陶芬贝格,https://movie.douban.com/subject/1860784/,7.1,4211,乔·拜尔,乔·拜尔,塞巴斯蒂安·科赫/乌尔里希·图库尔/哈代·克鲁格/克里斯托弗·巴克霍尔兹/尼娜·昆岑多夫/史蒂芬妮雅·若卡/阿克塞尔·米尔伯格/OlliDittrich/KatharinaRivilis/Karl-HeinzvonLiebezeit/MichaelaWiebusch/MichaelLott/ChristineSommer/索斯藤·默滕/尤沃钦·毕斯梅尔,剧情/历史/战争,德国,德语,2004,96分钟,(全部453条),(全部31条)
百万美元酒店,https://movie.douban.com/subject/1296124/,7.8,3978,维姆·文德斯,博诺,米拉·乔沃维奇/杰瑞米·戴维斯/梅尔·吉布森/吉米·斯密茨/彼得·斯特曼/阿曼达·普拉莫,剧情/悬疑/惊悚,德国/英国/美国,英语,2000,122分钟,(全部781条),(全部41条)
变鬼3.1,https://movie.douban.com/subject/3660836/,5.7,3769,由拉特·史帕克,由拉特·史帕克,马里奥·毛瑞尔/赖拉·邦雅淑,爱情/恐怖,泰国,泰语,2009,90分钟,(全部776条),(全部15条)
我生命中的男人,https://movie.douban.com/subject/1810519/,8.0,4423,扎布·布雷特曼,扎布·布雷特曼,贝尔纳·康庞/夏尔·贝尔林/蕾雅·德吕盖/安托尼·查隆/菲利普·莱夫布瓦尔/安迪·吉雷/GabrielleAtger,剧情/同性,法国,法语,2006,114分钟,(全部1053条),(全部80条)
