name,url,rate,box,director,writer,actor,genre,place,language,releasedate,movietime
真爱之吻 Penelope,https://movie.douban.com/subject/1914652/,6.7,4500000,马克·帕兰斯基,Leslie Caveny,克里斯蒂娜·里奇/詹姆斯·麦卡沃伊/凯瑟琳·欧哈拉/瑞茜·威瑟斯彭/尼克·弗罗斯特/西蒙·伍兹/彼特·丁拉基,喜剧/爱情/奇幻,英国/美国,英语,2006-09-08(多伦多电影节),104分钟
神兵小将,https://movie.douban.com/subject/3012377/,6.1,4000000,黄玉郎,方锦历,杨青倩/谢楠/常索妮/胡静/杨莹,动画/奇幻,中国大陆,汉语普通话,2009-10-01(中国大陆),95分钟
隋朝来客,https://movie.douban.com/subject/3737283/,4.6,3250000,庄宇新,庄宇新,李彧/涂松岩/邓家佳/王子文/李耕/彭波/姜超/何晶晶,剧情/喜剧,中国大陆,汉语普通话,2009-11-06(中国大陆),101分钟
袁崇焕,https://movie.douban.com/subject/3636328/,7.1,3200000,萧锋,,于魁智/赵葆秀/李胜素,,中国大陆,普通话/国语,2009-04-03,
第一军规,https://movie.douban.com/subject/3899166/,4.8,3150000,张今标,,高露/贾云/王挺,历史,中国大陆,普通话/国语,2009-09-25(中国大陆),94分钟
超能少年之烈维塔任务,https://movie.douban.com/subject/3876522/,2.7,3000000,冯大年,马楠,王成/徐程程/李铭祖/严峰/郭华/谢海东/张磊,,中国,普通话/国语,2009-08-18,
保持爱你 保持愛你,https://movie.douban.com/subject/3447591/,6.7,3000000,叶念琛,叶念琛,邓丽欣/侧田/森美/杨爱瑾/胡清蓝/谢安琪/唐素琪/梁祖尧/诸葛梓岐/龚嘉欣,爱情,香港,粤语,2009-07-28(中国大陆),HongKong:96分钟
亲密,https://movie.douban.com/subject/3244128/,6.2,2980000,岸西,岸西,林嘉欣/郑伊健/骆应钧/许志安/曾国祥/曾志伟,剧情/爱情,香港,粤语/普通话/英语,2008-10-23(东京电影节),100分钟
乐火男孩,https://movie.douban.com/subject/3713408/,5.1,2500000,林华全,李鹰,俞灏明/唐笑/王栎鑫/张杰/魏晨/吉杰/阿穆隆/陆虎/王铮亮/苏醒/郭彪/张远/鲁诺/姚政/陈楚生,,中国大陆,汉语普通话,2009-08-25,
战·无双 戰•無雙,https://movie.douban.com/subject/3596509/,3.8,2500000,熊欣欣,陈咏燊,蒋璐霞/李灿森/张兆辉,剧情/动作,香港/中国,粤语/汉语普通话,2009-05-01(中国大陆),87分钟
我的唐朝兄弟,https://movie.douban.com/subject/3227266/,6.6,2110000,杨树鹏,杨树鹏,胡军/姜武/李立群/王晓/于小磊,动作,中国大陆,汉语普通话,2009-11-20,93分钟
麋鹿王,https://movie.douban.com/subject/3804402/,5.9,2100000,郭崴娇,张之益,李扬/葛优,动画,中国大陆,汉语普通话,2009-09-29(中国大陆),95分钟
回路,https://movie.douban.com/subject/1950509/,4.7,2000000,盖霖泽,,刘凯威/王宇婕/秦昊/侯莎莎,惊悚,香港,汉语普通话,2009-02-20,
皇家刺青,https://movie.douban.com/subject/3189969/,4.7,1700000,冯超,许声亮,黄小蕾/王劲松/张桐/花儿乐队/刘桦/戴军/王茜/于飞/崔波/翟天临,剧情/悬疑/武侠/古装,中国,汉语普通话/中文,2009-09-30,91分钟
八月迷情 August Rush,https://movie.douban.com/subject/1844413/,8.3,1560000,科斯汀·谢里丹,尼克·卡斯特尔,乔纳森·莱斯·梅耶斯/弗莱迪·海默/罗宾·威廉姆斯/凯丽·拉塞尔/泰伦斯·霍华德,剧情/爱情/音乐,美国,英语,2009-01-23(中国大陆),114分钟
寻找狗托邦 Ma mha 4 khaa khrap,https://movie.douban.com/subject/2992735/,6.9,1550000,Pantham Thongsangl,披查亚·尼迪裴善官,SomkaitVituranich,喜剧/家庭,泰国,泰语,2007-04-05,90分钟
