name,movie_url,rate,rating_people,director,writer,actor,genre,place,language,year,movietime
神秘博士：2017圣诞特别篇,https://movie.douban.com/subject/27064700/,8.1,1587,瑞秋·塔拉蕾,史蒂文·莫法特,彼得·卡帕尔迪/大卫·布拉德利/马克·加蒂斯/珀尔·麦基/莉莉·崔佛斯/杰瑞德·加菲尔德/朱迪·惠特克/托比·怀特豪斯,剧情/科幻/悬疑/冒险,英国,英语,2017,
我的美国心,https://movie.douban.com/subject/26280940/,8.0,297,Angelo Pizzo,Angelo Pizzo,FinnWittrock/AaronEckhart/RobinTunney,剧情/传记/运动,美国,英语,2015,118
骆驼客,https://movie.douban.com/subject/10562402/,7.8,2441,高峰,高峰,刘小宁/陈旭竹/张玉龙/安启虎,动作/爱情/冒险,中国大陆,汉语普通话,2012,89
四头狮子,https://movie.douban.com/subject/3389591/,7.7,8490,克里斯多夫·莫利斯,克里斯多夫·莫利斯,PreeyaKalidas/凯万·诺瓦克/里兹·阿迈德RizAhmed/朱莉娅·戴维斯/本尼迪克特·康伯巴奇,剧情/喜剧,英国,英语,2010,97
我为勾勾狂,https://movie.douban.com/subject/23566157/,7.7,3049,Cory James Krueckeberg,Cory James Krueckeberg,坦纳·科恩/马修·坎普/拉蒙·奥尔默斯·托雷斯,喜剧/同性,美国,英语,2013,91
东风破,https://movie.douban.com/subject/4739986/,7.6,6353,麦婉欣/鄭思傑,麦婉欣,官恩娜/周俊伟/泰迪·罗宾/苗可秀/何韵诗/张同祖/[deleted]/吕聿来/刘浩龙,剧情,香港,粤语,2010,125
幸运七人组特别篇,https://movie.douban.com/subject/20020915/,7.6,5846,松山博昭,井上由美子,松本润/瑛太/仲里依纱/吹石一惠/小山庆一郎/石原里美/中丸雄一/菜菜绪/伊武雅刀/平田満/及川光博/角野卓造/大泉洋/松岛菜菜子,剧情/喜剧,日本,日语,2013,120
玉熙的电影,https://movie.douban.com/subject/4910868/,7.6,2529,洪尚秀,洪尚秀,李善均/郑有美/文成根,剧情/爱情,韩国,韩语,2010,80
德云社二十周年庆典,https://movie.douban.com/subject/26779279/,7.6,1201,,,郭德纲/于谦/马东/张国立/岳云鹏/孙越/吴京/谢楠/刘威/冯小刚/宋丹丹/徐帆/宁静/贾玲/沈腾/黄绮珊/潘长江/蔡明/孟非/高晓松/李咏/哈文/沙宝亮/金巧巧/姜妍/沙溢/胡可/陈鲁豫/管虎/梁静,脱口秀,中国大陆,汉语普通话,2016,80
头文字D新剧场版：斗走,https://movie.douban.com/subject/25967440/,7.6,776,日高政光/中智仁,关岛真赖,宫野真守/中村悠一/小野大辅/白石稔/内田真礼/平田广明/土田大/诹访部顺一,动画/运动,日本,日语,2015,61
青春韶华,https://movie.douban.com/subject/25730878/,7.6,472,马里奥·马尔托内,马里奥·马尔托内,埃利奥·杰曼诺/伊莎贝拉·拉贡内瑟/恩尼奥·凡塔斯蒂基尼/安娜·穆格拉利斯,传记/历史,意大利,意大利语,2014,137
干物妹！小埋,https://movie.douban.com/subject/27025999/,7.6,657,太田雅彦,あおしまたかし,田中爱美/野岛健儿/影山灯/白石晴香/古川由利奈,喜剧/动画,日本,日语,2017,24
灰色的迷宫,https://movie.douban.com/subject/26291909/,7.6,563,天冲,高桥龙也,樱井孝宏/友永朱音/瑞泽溪/诹访彩花/やなせなつみ/鸣海エリカ/藤井刚/たみやすともえ/鹤冈聪/小林みい/三苫纮平/田中凉子/田口宏子/水桥香织/清水爱,动作/动画/犯罪,日本,日语,2015,48
鲸奇,https://movie.douban.com/subject/3718237/,7.5,3046,肯·卡皮斯,杰克·埃米尔,德鲁·巴里摩尔/约翰·卡拉辛斯基/克里斯汀·贝尔/蒂姆·布雷克·尼尔森/特德·丹森/凡妮莎·肖,剧情/爱情,美国/英国,英语,2012,107
可疑的顾客们,https://movie.douban.com/subject/5366672/,7.5,2739,曹溱模,刘圣叶,柳昇范/允荷/成东日/徐智慧/林周焕/朴哲民,喜剧,韩国,韩语,2011,124
青春的三段回忆,https://movie.douban.com/subject/26295857/,7.5,2448,阿诺·德斯普里钦,阿诺·德斯普里钦,昆汀·多尔马尔/露·罗-伊莱科内/马修·阿马立克/蒂娜拉·卓卡洛娃/弗朗索瓦兹·勒布伦/奥利维尔·雷堡汀/莉莉·塔耶布/提奥·费尔南德斯/安妮·波努瓦/梅洛迪·里夏尔/艾瑞克·拉夫/帕特里克·德阿萨姆曹/本杰明·思科索/吉勒·科昂/安德烈·杜索里埃,剧情,法国,法语/俄语/希伯来语,2015,123
3月的狮子,https://movie.douban.com/subject/26748877/,7.5,2381,大友启史,岩下悠子,神木隆之介/有村架纯/仓科加奈/染谷将太/清原果耶/佐佐木藏之介/加濑亮/伊势谷友介/前田吟/高桥一生/岩松了/齐木茂/中村伦也/尾上宽之/奥野瑛太/甲本雅裕/新津知世/板谷由夏/伊藤英明/丰川悦司,剧情,日本,日语,2017,139
比利时国王,https://movie.douban.com/subject/26341049/,7.5,2265,彼得·博罗斯/杰西卡·霍普伍德沃思,彼得·博罗斯,彼得·范·登·贝京/露西·德拜/提图斯·德·沃格特/布鲁诺·若里斯/戈兰·拉达克维奇/彼得·范·德·侯文/尼娜·尼古拉娜/瓦伦丁·加内夫/娜塔丽·拉罗什/尤里·安杰洛夫,剧情/喜剧,比利时/荷兰/保加利亚,英语/弗拉芒语/法语/保加利亚语,2016,94
窈窕淑女前篇：红绪，花样的17岁,https://movie.douban.com/subject/26904440/,7.5,501,古桥一浩,古桥一浩,早见沙织/宫野真守/樱井孝宏/中井和哉/梶裕贵/濑户麻沙美/石冢运升/铃木玲子/三宅健太/伊藤静,剧情/喜剧/动画/战争,日本,日语,2017,97
良医妙药,https://movie.douban.com/subject/3114117/,7.4,3336,汤姆·沃恩,罗伯特·尼尔森·雅各布斯,哈里森·福特/布兰登·费舍/凯丽·拉塞尔/考特尼·万斯/杰瑞德·哈里斯/迪·沃伦斯/帕特里克·波查,剧情/家庭,美国,英语,2010,106
温暖的告别,https://movie.douban.com/subject/20399271/,7.4,3201,南泽秀,南泽秀,李弘基/白珍熙/马东锡/林元熙/全敏书,剧情/音乐,韩国,韩语,2013,99
心理学家成海朔的挑战：少女为何必须失忆？,https://movie.douban.com/subject/25981050/,7.4,3027,石田昌浩/森田俊介,松田裕子,山下智久/木村文乃/浅利陽介/渡邉このみ/波岡一喜/塚地武雅/木本武宏/中村靖日/星野真里/船越英一郎,剧情,日本,日语,2014,90
