name,movie_url,rate,rating_people,director,writer,actor,genre,place,language,year,movietime
被嫌弃的松子的一生,https://movie.douban.com/subject/1787291/,8.9,408355,中岛哲也,中岛哲也,中谷美纪/瑛太/香川照之/市川实日子/伊势谷友介/柄本明/黑泽明日香/荒川良良/柴崎幸/土屋安娜/奥之矢佳奈/谷原章介/武田真治/片平渚/宫藤官九郎/角野卓造/田中要次/木村凯拉/谷中敦/剧团一人,剧情/歌舞,日本,日语,2006,130分钟
致命ID,https://movie.douban.com/subject/1297192/,8.7,422509,詹姆斯·曼高德,Michael Cooney,约翰·库萨克/雷·利奥塔/阿曼达·皮特/阿尔弗雷德·莫里纳/克里·杜瓦尔,剧情/悬疑/惊悚,美国,英语,2003,90分钟
真爱至上,https://movie.douban.com/subject/1292401/,8.6,405850,理查德·柯蒂斯,理查德·柯蒂斯,休·格兰特/科林·费尔斯/艾玛·汤普森/凯拉·奈特莉/连姆·尼森/托马斯·布罗迪-桑斯特/比尔·奈伊/马丁·弗瑞曼/劳拉·琳妮/艾伦·瑞克曼/克里斯·马歇尔/罗德里戈·桑托罗/罗温·艾金森/比利·鲍伯·松顿/玛汀·麦古基安/安德鲁·林肯/露西娅·莫尼斯/海克·玛卡琪,剧情/喜剧/爱情,英国/美国/法国,英语/葡萄牙语/法语,2003,135分钟
入殓师,https://movie.douban.com/subject/2149806/,8.8,383002,泷田洋二郎,小山薰堂,本木雅弘/广末凉子/山崎努/吉行和子/笹野高史/余贵美子,剧情,日本,日语,2008,130分钟
冰川时代,https://movie.douban.com/subject/1291578/,8.5,350552,卡洛斯·沙尔丹哈/克里斯·韦奇,迈克尔·伯格 ,雷·罗马诺/约翰·雷吉扎莫/丹尼斯·利瑞/杰克·布莱克,喜剧/动画/冒险,美国,英语/克罗地亚语,2002,81分钟
钢铁侠,https://movie.douban.com/subject/1432146/,8.1,328671,乔恩·费儒,阿特·马库姆,小罗伯特·唐尼/泰伦斯·霍华德/格温妮斯·帕特洛/杰夫·布里吉斯/莱丝莉·比伯/肖恩·托布/保罗·贝坦尼/乔恩·费儒/克拉克·格雷格,动作/科幻/惊悚/冒险,美国,英语/波斯语/乌尔都语/阿拉伯语,2008,126分钟
指环王2：双塔奇兵,https://movie.douban.com/subject/1291572/,9.0,371664,彼得·杰克逊,弗兰·威尔士,伊莱贾·伍德/西恩·奥斯汀/伊恩·麦克莱恩/维果·莫腾森/奥兰多·布鲁姆/克里斯托弗·李/丽芙·泰勒/安迪·瑟金斯/雨果·维文/卡尔·厄本/凯特·布兰切特/多米尼克·莫纳汉/大卫·文翰/比利·博伊德/布拉德·道里夫/伯纳德·希尔/约翰·瑞斯-戴维斯/米兰达·奥图,剧情/动作/奇幻/冒险,美国/新西兰,英语/辛达林语/古代英语,2002,179分钟
色，戒,https://movie.douban.com/subject/1828115/,8.3,329482,李安,王蕙玲,梁朝伟/汤唯/陈冲/王力宏/庹宗华/朱芷莹/高英轩/柯宇纶/阮德锵/钱嘉乐/苏岩/何赛飞/宋茹惠/樊光耀/卢燕/刘洁/余娅/王琳/王侃/竹下明子/阿努潘·凯尔,剧情/爱情/情色,台湾/中国大陆/美国/香港,汉语普通话/上海话/英语/粤语/日语/印地语,2007,158分钟
两小无猜,https://movie.douban.com/subject/1308817/,8.0,356025,杨·塞谬尔,杨·塞谬尔,吉约姆·卡内/玛丽昂·歌迪亚/蒂博•费尔哈格/约瑟芬·勒巴-乔利/艾曼妞·格伦沃尔德/杰拉德·沃特金斯/吉尔·勒卢什/朱莉娅·福雷/LaëtiziaVeneziaTarnowska/艾乐蒂·纳瓦/纳塔莉·纳捷/RobertWillar/FrédéricGeerts/ManuelaSanchez/PhilippeDrecq,剧情/喜剧/爱情,法国/比利时,法语,2003,93分钟
怪兽电力公司,https://movie.douban.com/subject/1291579/,8.6,331787,彼特·道格特/大卫·斯沃曼/李·昂克里奇,安德鲁·斯坦顿,约翰·古德曼/比利·克里斯托/玛丽·吉布斯/史蒂夫·布西密/詹姆斯·柯本/詹妮弗·提莉/鲍勃·彼德森/约翰·拉岑贝格/弗兰克·奥兹/丹尼尔·吉尔森/邦尼·亨特/杰克·安杰尔/塞缪尔·洛德·布莱克/史蒂夫·萨斯坎德,喜剧/动画/儿童/奇幻/冒险,美国,英语,2001,92分钟
