name,movie_url,rate,rating_people,director,writer,actor,genre,place,language,year,movietime,comment,review
电视台风云,https://movie.douban.com/subject/1297531/,8.4,7404,西德尼·吕美特,帕迪·查耶夫斯基,费·唐纳薇/威廉·霍尔登/彼得·芬奇/罗伯特·杜瓦尔/尼德·巴蒂/比阿特丽斯·斯特雷特,剧情,美国,英语,1976,121分钟,(全部2180条),(全部48条)
天堂之日,https://movie.douban.com/subject/1293232/,7.9,7691,泰伦斯·马力克,泰伦斯·马力克,理查·基尔/布鲁克·亚当斯/山姆·夏普德/罗伯特·J·威尔克/琳达·曼兹/斯图尔特·马戈林/蒂莫西·斯科特/吉恩·贝尔,剧情/爱情,美国,英语/意大利语,1978,94分钟,(全部2020条),(全部40条)
007之金枪人,https://movie.douban.com/subject/1293605/,6.8,5204,盖伊·汉弥尔顿,理查德·麦鲍姆,罗杰·摩尔/克里斯托弗·李/赫夫·维勒查泽/布里特·艾克拉诺/莫德·亚当斯,动作/惊悚/冒险,英国,英语/泰语,1974,125分钟,(全部548条),(全部11条)
叶塞尼亚,https://movie.douban.com/subject/1307687/,8.2,6033,阿尔弗雷多·克雷维纳,约兰达·巴尔加斯·达尔西,杰奎琳·安德瑞/乔治·拉瓦特/艾尔玛·洛扎诺/胡安·加利亚/奥斯卡·莫雷利/PilarSen/伊莎贝拉·科罗娜/ClaudiaMartell/艾丽西亚·罗德里格斯/奥古斯托·贝内迪克/维克托·阿尔科塞尔/何塞·巴伐利亚/罗莎·弗曼/MariaWagner/费尔南多·索莱尔,剧情/爱情,墨西哥,西班牙语,1971,121分钟,(全部1104条),(全部17条)
法国贩毒网,https://movie.douban.com/subject/3013046/,7.7,6490,威廉·弗莱德金,欧内斯特·泰迪曼,吉恩·哈克曼/费尔南多·雷伊/罗伊·沙伊德尔/托尼·洛·比安科,动作/惊悚/犯罪,美国,英语/法语,1971,104分钟,(全部1346条),(全部29条)
人证,https://movie.douban.com/subject/1291861/,8.1,6530,佐藤纯弥,森村诚一,冈田茉莉子/松田优作/鼻肇/山中乔/岩城滉一/三船敏郎/鹤田浩二/竹下景子/伴淳三郎/高泽顺子/范文雀/夏八木勋/长门裕之/珍妮八田/坂口良子/大泷秀治/佐藤蛾次郎/北林谷荣/西川峰子/铃木瑞穗/峰岸彻/地井武男/和田浩治/深作欣二,剧情/犯罪,日本/美国,英语/日语,1977,132分钟,(全部1404条),(全部60条)
新独臂刀,https://movie.douban.com/subject/1302128/,8.0,6644,张彻,倪匡,姜大卫/狄龙/谷峰/王钟/郑雷,动作/武侠/古装,香港,汉语普通话,1971,102分钟,(全部2029条),(全部56条)
活死人黎明,https://movie.douban.com/subject/1295578/,7.3,5596,乔治·A·罗梅罗,乔治·A·罗梅罗,DavidEmge/肯·佛瑞/斯科特·H·雷宁格/GaylenRoss/DavidCrawford,动作/恐怖,意大利/美国,英语,1978,126分钟,(全部838条),(全部9条)
陆军野战医院,https://movie.douban.com/subject/1292766/,7.9,6443,罗伯特·奥特曼,小瑞因·拉德纳,唐纳德·萨瑟兰/埃利奥特·古尔德/汤姆·斯凯里特/罗伯特·杜瓦尔/萨莉·凯勒曼,剧情/喜剧/战争,美国,英语/日语/韩语,1970,116分钟,(全部1493条),(全部23条)
美食家,https://movie.douban.com/subject/1308457/,8.3,6450,克洛德·齐迪,克洛德·齐迪,路易·德·菲奈斯/科鲁彻/克洛德·让萨克/AnnZacharias/维托里奥·卡布里奥利,喜剧,法国,法语,1976,104分钟,(全部1117条),(全部24条)
007之海底城,https://movie.douban.com/subject/1292938/,7.1,4950,刘易斯·吉尔伯特,克里斯托弗·伍德,罗杰·摩尔/芭芭拉·贝芝/库尔德·于尔根斯/理查德·基尔/卡罗琳·莫罗,动作/惊悚/冒险,英国,英语/意大利语/阿拉伯语,1977,125分钟,(全部554条),(全部11条)
歌厅,https://movie.douban.com/subject/1296282/,8.9,6572,鲍勃·福斯,乔·麦斯特洛夫,丽莎·明奈利/麦克尔·约克/赫尔穆特·格里姆/乔尔·格雷/弗里茨·维伯/马里莎·贝伦森/伊丽莎白·诺伊曼-菲特尔/海伦·维塔/西格丽德·冯·里希特霍芬/格尔德·费斯佩曼/劳夫·沃尔特/EstrongoNachama/凯瑟琳·多比/PierreFranckh/EllenUmlauf,剧情/爱情/歌舞,美国,英语/德语/希伯来语/法语,1972,124分钟,(全部2211条),(全部43条)
窃听大阴谋,https://movie.douban.com/subject/1296908/,8.1,6106,弗朗西斯·福特·科波拉,弗朗西斯·福特·科波拉,吉恩·哈克曼/约翰·凯泽尔/艾伦·加菲尔德/弗雷德里克·福瑞斯特/辛迪·威廉姆斯/迈克尔·希金斯/伊丽莎白·麦克雷/特瑞·加尔/哈里森·福特/马克·惠勒/罗伯特·希尔兹/罗伯特·杜瓦尔/吉安-卡洛·科波拉/拉蒙·比厄里/比利·迪·威廉姆斯,剧情/悬疑/惊悚,美国,英语,1974,113分钟,(全部1664条),(全部34条)
空山灵雨,https://movie.douban.com/subject/1301136/,8.4,6336,胡金铨,胡金铨,田丰/孙越/徐枫/秦沛/石隽/吴明才/吴家骧/佟林,剧情/动作/武侠/古装,香港,汉语普通话,1979,120分钟,(全部1833条),(全部37条)
安德烈·卢布廖夫,https://movie.douban.com/subject/1298248/,8.9,5583,安德烈·塔可夫斯基,安德烈·康查洛夫斯基,安纳托利·索洛尼岑/伊万·拉皮科夫/尼古拉·格林科/尼古拉·谢尔盖耶夫/伊尔玛·拉乌什/尼古拉·布尔利亚耶夫/尤里·纳扎罗夫/尤里·尼库林/罗兰·贝科夫,剧情/传记/历史/战争,苏联,俄语/意大利语/鞑靼语,1966,145分钟,(全部1762条),(全部49条)
巴比龙,https://movie.douban.com/subject/1293820/,8.7,6416,富兰克林·沙夫纳,达尔顿·特朗勃,史蒂夫·麦奎因/达斯汀·霍夫曼/维克托·乔里/唐·戈登/安东尼·泽比,剧情/传记/犯罪,美国/法国,英语,1973,151分钟,(全部1623条),(全部55条)
小飞龙,https://movie.douban.com/subject/1808049/,8.0,5174,富野由悠季,手冢治虫,塩谷翼(voice)/広川あけみ(voice)/北浜晴子(voice),动画/奇幻/冒险,日本/加拿大,日语,1979,74分钟,(全部637条),(全部9条)
爵士春秋,https://movie.douban.com/subject/1299330/,8.6,6044,鲍勃·福斯,罗伯特·艾伦·奥瑟,罗伊·沙伊德尔/杰西卡·兰格/利兰·帕尔默/安·赖因肯斯/克里夫·戈曼/本·沃伦/伊丽莎白·福尔迪/迈克尔·托兰/马克斯·怀特/威廉·勒马萨纳/伊雷娜·凯恩/狄波拉·盖夫娜/凯瑟琳·多比/安东尼·霍兰德/罗伯特·希特/大卫·马古利斯/基斯·戈登/阿兰·海姆,剧情/喜剧/音乐/歌舞,美国,英语/西班牙语,1979,123分钟,(全部2200条),(全部38条)
红圈,https://movie.douban.com/subject/1401915/,8.3,5866,让-皮埃尔·梅尔维尔,让-皮埃尔·梅尔维尔,阿兰·德龙/布尔维尔/吉安·玛丽亚·沃隆特/伊夫·蒙当/保罗·克罗谢/弗朗索瓦·佩里埃,剧情/惊悚/犯罪,法国/意大利,法语,1970,140分钟,(全部1718条),(全部26条)
午后之爱,https://movie.douban.com/subject/1293963/,8.3,5641,埃里克·侯麦,埃里克·侯麦,贝尔纳·维尔莱/祖祖/FrançoiseVerley,剧情/爱情,法国,法语,1972,97分钟,(全部1587条),(全部42条)
土耳其狂欢,https://movie.douban.com/subject/1303074/,7.4,5211,保罗·范霍文,桑多尔·泽特曼,鲁特格尔·哈尔/BertAndré/JonBluming,剧情/爱情/情色,荷兰,荷兰语/英语,1973,112分钟,(全部1445条),(全部49条)
金玉良缘红楼梦,https://movie.douban.com/subject/1300201/,7.4,5141,李翰祥,李翰祥,林青霞/张艾嘉/狄波拉/米雪/胡锦,爱情/歌舞/古装,香港/台湾,汉语普通话,1977,108分钟,(全部1732条),(全部44条)
穷街陋巷,https://movie.douban.com/subject/1293511/,7.6,5758,马丁·斯科塞斯,马丁·斯科塞斯,罗伯特·德尼罗/哈威·凯特尔/大卫·普罗瓦尔/艾米·罗宾森/理查德·罗农斯/西萨尔·达诺瓦/维克多·阿尔果/乔治·梅莫利/LennyScaletta/珍妮·贝尔/MurrayMoston/大卫·卡拉丁/罗伯特·卡拉丁/LoisWalden/HarryNorthup,剧情/犯罪,美国,英语,1973,112分钟,(全部1077条),(全部19条)
一九零零,https://movie.douban.com/subject/1300956/,8.7,5242,贝纳尔多·贝托鲁奇,贝纳尔多·贝托鲁奇,罗伯特·德尼罗/热拉尔·德帕迪约/多米妮克·桑达/弗朗切斯卡·贝蒂尼/劳拉·贝蒂/维纳·布朗/斯蒂芬妮娅·卡西尼/斯特林·海登/阿莉达·瓦利/保罗·布兰卡/唐纳德·萨瑟兰,剧情/爱情/历史/战争,意大利/法国/西德,意大利语,1976,245分钟,(全部1295条),(全部44条)
