name,rate,rating_people,director,year,movietime,main_country,main_language,main_genre,second_genre,main_actor,second_actor
巨人捕手杰克,6.2,33093,布莱恩·辛格,2013,114.0,美国,英语,剧情,奇幻,尼古拉斯·霍尔特,埃莉诺·汤姆林森
财神客栈,5.3,39516,王晶,2011,97.0,中国大陆,汉语普通话,喜剧,动作,谢霆锋,张家辉
硬核亨利,7.6,30167,伊利亚·奈舒勒,2015,96.0,俄罗斯,英语,动作,科幻,沙尔托·科普雷,丹尼拉·科兹洛夫斯基
我的冤家是条狗,6.4,6459,曼迪·弗莱彻,2018,95.0,英国,英语,喜剧,家庭,比蒂·埃德蒙森,艾德·斯克林
雪花秘扇,5.7,63096,王颖,2011,104.0,中国大陆,英语,剧情,历史,李冰冰,全智贤
罪人,7.6,16359,古斯塔夫·莫勒,2018,85.0,丹麦,丹麦语,剧情,惊悚,雅各布·克德格恩,杰西卡·迪内奇
杜拉拉追婚记,5.3,34602,安竹间,2015,101.0,中国大陆,汉语普通话,喜剧,爱情,周渝民,林依晨
赛德克·巴莱(上)：太阳旗,8.8,64471,魏德圣,2011,144.0,台湾,日语,剧情,历史,林庆台,游大庆
赴汤蹈火,8.0,39678,大卫·马肯兹,2016,102.0,美国,英语,剧情,犯罪,克里斯·派恩,本·福斯特
我家买了动物园,7.8,82202,卡梅伦·克罗,2011,124.0,美国,英语,剧情,喜剧,马特·达蒙,斯嘉丽·约翰逊
巴霍巴利王2：终结,7.1,29354,S·S·拉贾穆里,2017,167.0,印度,泰卢固语,剧情,动作,帕拉巴斯,拉纳·达格巴提
科洛弗道10号,6.8,42215,丹·特拉亨伯格,2016,103.0,美国,英语,科幻,悬疑,约翰·古德曼,玛丽·伊丽莎白·温斯特德
近距离恋爱,6.0,34471,熊泽尚人,2014,118.0,日本,日语,爱情,爱情,山下智久,小松菜奈
怒,7.7,63259,李相日,2016,142.0,日本,日语,剧情,爱情,渡边谦,森山未来
绿毛怪格林奇,6.3,6237,亚罗·切尼/斯科特·摩西尔,2018,86.0,法国,英语,喜剧,动画,本尼迪克特·康伯巴奇,卡梅伦·丝蕾
捉迷藏,5.4,29546,刘杰,2016,105.0,中国大陆,汉语普通话,悬疑,惊悚,霍建华,秦海璐
方形,7.7,25137,鲁本·奥斯特伦德,2017,151.0,瑞典,英语,喜剧,喜剧,克拉斯·邦,伊丽莎白·莫斯
侠探杰克：永不回头,5.9,25476,爱德华·兹威克,2016,118.0,美国,英语,动作,犯罪,汤姆·克鲁斯,寇碧·史莫德斯
依然爱丽丝,7.9,48889,理查德·格雷泽/沃什·韦斯特摩兰,2014,101.0,美国,英语,剧情,剧情,朱丽安·摩尔,凯特·波茨沃斯
猜火车2,8.0,52914,丹尼·博伊尔,2017,117.0,英国,英语,剧情,犯罪,伊万·麦克格雷格,约翰尼·李·米勒
明日的我与昨日的你约会,7.6,30258,三木孝浩,2016,111.0,日本,日语,剧情,爱情,福士苍汰,小松菜奈
鼠来宝4：萌在囧途,6.8,10366,沃尔特·拜克,2015,92.0,美国,英语,喜剧,动画,贾斯汀·朗,马修·格雷·古柏勒
华丽上班族,6.0,44234,杜琪峰,2015,119.0,香港,汉语普通话,剧情,喜剧,周润发,张艾嘉
箭士柳白猿,7.3,41748,徐浩峰,2012,90.0,中国大陆,汉语普通话,剧情,武侠,宋洋,于承惠
鬼故事,7.1,14797,杰瑞米·德桑/安迪·尼曼,2017,98.0,英国,英语,剧情,恐怖,安迪·尼曼,马丁·弗瑞曼
王的盛宴,5.4,62484,陆川,2012,109.0,中国大陆,汉语普通话,历史,古装,刘烨,吴彦祖
哥哥太爱我了怎么办,6.1,20377,河合勇人,2017,99.0,日本,日语,剧情,喜剧,土屋太凤,片寄凉太
有熊谷守一在的地方,8.3,8677,冲田修一,2018,100.0,日本,日语,剧情,剧情,山崎努,树木希林
