name,rate,rating_people,director,year,movietime,comment,review,main_country,main_language,main_genre,second_genre,main_actor,second_actor
剃刀开道,7.6,2139,Dave Moore,2006,95,300,21,英国,英语,恐怖,剧情,雷·温斯顿,EssieDavis
如果能在天堂和你相遇,7.7,2466,土井裕泰,2009,104,489,13,日本,日语,剧情,剧情,二宮和也,井上真央
红色之路,7.2,2274,安德里亚·阿诺德,2006,113,503,19,英国,英语,剧情,悬疑,凯特·迪基,托尼·库兰
裙角飞扬的日子,7.9,2368,让-保罗·利利安菲尔德,2008,87,662,30,法国,法语,剧情,剧情,伊莎贝尔·阿佳妮,德尼·波达利德斯
天堂五分钟,7.1,2273,奥利弗·希施比格尔,2009,89,524,32,英国,英语,剧情,惊悚,詹姆斯·内斯比特,安娜玛丽亚·玛琳卡
飞出个未来大电影2：万背之兽,8.3,2476,Peter Avanzino,2008,90,338,5,美国,英语,喜剧,动作,FrankWelker,凯特蕾·萨加尔
米芽米咕人,7.7,2291,雅克-雷米·杰瑞德,2008,91,591,16,法国,法语,动画,家庭,丹尼·伯恩,约翰·迪·玛吉欧
性瘾者,6.9,2126,凯维赫·扎赫迪,2005,98,430,18,美国,英语,喜剧,情色,凯维赫·扎赫迪,丽贝卡·罗德
金山,7.1,2334,胡大为,2009,169,464,22,加拿大,英语,剧情,剧情,彼得·奥图尔,孙俪
甜丝丝,6.0,2084,叶念琛,2004,100,324,9,香港,粤语,喜剧,喜剧,森美,邓丽欣
冒名顶替,6.8,2636,加里·弗莱德,2001,95,480,18,美国,英语,剧情,动作,加里·西尼斯,玛德琳·斯托
年度人物,7.3,2255,巴瑞·莱文森,2006,115,324,24,美国,英语,剧情,喜剧,罗宾·威廉姆斯,克里斯托弗·沃肯
赖小子,7.4,2143,韩杰,2006,89,411,39,中国大陆,汉语普通话,剧情,剧情,白培将,郭乾
脆弱,6.3,2542,豪梅·巴拉格罗,2005,101,590,12,西班牙,英语,惊悚,恐怖,卡莉斯塔·弗洛克哈特,理查德·劳斯伯格
丑小鸭和小老鼠,7.1,2348,Karsten Kiilerich/Michael Hegner,2006,90,345,15,法国,丹麦语,喜剧,动画,RickKavanian,MichaelLiebman
新木马屠城记,6.8,2240,约翰·肯特·哈里森,2003,175,368,34,美国,英语,剧情,动作,西耶娜·盖尔利,马修·马斯登
圣徒指南,7.2,2440,蒂托·蒙蒂尔,2006,100,568,19,美国,英语,剧情,犯罪,小罗伯特·唐尼,埃里克·罗伯茨
无名的恋歌,6.3,2610,山崎贵,2009,132,717,18,日本,日语,剧情,动作,草剪刚,新垣结衣
只是爱的问题,7.7,2584,克里斯蒂安·富尔,2000,92,555,15,法国,法语,剧情,爱情,西里尔·索文尼,斯戴芬·古林-提列
撕裂记忆体,6.1,2249,约翰·格伦,2008,100,392,24,美国,英语,剧情,惊悚,保罗·沃克,派珀·佩拉博
高中学生会长暗杀事件,6.2,2505,Brett Simon,2008,93,480,13,美国,英语,喜剧,悬疑,米莎·巴顿,RumerWillis
爱上凯斯,7.5,2544,Todd Kessler,2008,93,700,30,美国,英语,剧情,爱情,伊莉莎白·哈诺伊斯,杰西·麦卡尼
蓝调之歌,8.1,2386,妮娜·佩利,2008,82,636,20,美国,英语,喜剧,动画,AnnetteHanshaw,PoojaKumar
线人,5.2,2437,Gregor Jordan,2008,98,533,26,德国,英语,剧情,惊悚,比利·鲍伯·松顿,金·贝辛格
蛇蝎美人,6.8,2377,布莱恩·德·帕尔玛,2002,114,491,13,法国,英语,惊悚,犯罪,丽贝卡·罗梅恩,安东尼奥·班德拉斯
美丽密语,7.2,2045,李成康,2002,79,383,21,韩国,韩语,剧情,动画,柳德焕,安圣基
炭烧凶咒,6.0,2124,邓衍成,2000,83,488,1,香港,粤语,恐怖,恐怖,陈小春,万绮雯
恋爱大赢家,6.1,2162,朱延平,2004,92,485,11,中国大陆,汉语普通话,剧情,爱情,许绍洋,杨恭如
抽屉里的情书,7.2,2456,三城真一,2009,119,661,17,日本,日语,剧情,剧情,常盘贵子,林遣都
梦魇疯人院,8.0,2200,杨·史云梅耶,2005,123,543,19,捷克,捷克语,惊悚,奇幻,安娜·盖伊斯洛娃,帕沃·里斯卡
极乐岛杀人事件,6.1,2133,金韩民,2007,112,355,12,韩国,韩语,剧情,悬疑,朴海日,朴率美
最伟大的,7.5,2246,莎娜·费斯特,2009,99,606,10,美国,英语,剧情,爱情,凯瑞·穆里根,苏珊·萨兰登
愤怒乒乓球,5.1,2212,罗伯特·本·加兰特,2007,90,383,11,美国,英语,喜剧,动作,DarrylChan,布雷特·德尔布罗诺
古畑任三郎,8.3,2451,河野圭太,2004,121,280,3,日本,日语,悬疑,犯罪,田村正和,松本幸四郎
自由意志,7.6,2159,马蒂亚斯·格拉斯纳,2006,163,527,44,德国,德语,剧情,犯罪,于尔根·福格尔,莎宾·蒂莫提欧
有梦就去闯,8.2,2550,Brad Isaacs,2007,86,719,25,美国,英语,剧情,爱情,凯登·博伊德,安娜索菲亚·罗伯
时光之尘,8.1,2164,西奥·安哲罗普洛斯,2008,125,638,30,希腊,英语,剧情,剧情,威廉·达福,布鲁诺·甘茨
守灵夜,7.7,2506,津川雅彦,2005,110,716,17,日本,日语,剧情,喜剧,中井贵一,木村佳乃
犬神家族,7.4,2472,星护,2004,142,258,6,日本,日语,悬疑,犯罪,稻垣吾郎,小日向文世
千年敬祈,7.6,2368,王颖,2007,83,732,36,美国,汉语普通话,剧情,家庭,区亨利,俞飞鸿
仙履奇缘2：美梦成真,6.8,2285,John Kafka,2002,69,266,2,美国,英语,爱情,动画,詹妮弗·黑尔,TressMacNeille
大明星从军记,5.9,2211,史蒂夫·迈纳,2008,98,387,8,美国,英语,喜剧,喜剧,杰西卡·辛普森,瑞安·斯派克
弯曲吧！汤匙,7.0,2427,本広克行,2009,106,653,5,日本,日语,喜剧,喜剧,长泽雅美,平田满
恋爱症候群,7.7,2247,阿彼察邦·韦拉斯哈古,2006,105,951,23,泰国,泰语,剧情,剧情,ArkanaeCherkam,JaruchaiIamaram
五月八月,7.8,2307,杜国威,2002,88,556,19,香港,粤语,剧情,家庭,叶童,徐忻辰
雪山惊魂2,6.0,2208,Mats Stenberg,2008,86,415,12,挪威,挪威语,剧情,爱情,英格丽德·波尔索·贝达尔,MartheSnorresdotterRovik
短暂的生命,6.2,2332,罗守耀,2009,85,564,29,香港,粤语,剧情,惊悚,吕慧仪,邓上文
失踪,6.1,2294,金成洪,2009,98,526,13,韩国,韩语,惊悚,恐怖,文成根,秋瓷炫
青春爱人事件,6.4,2175,颢然,2005,88,240,28,中国大陆,汉语普通话,剧情,剧情,刘烨,石周靓
天上的恋人,7.3,2129,蒋钦民,2002,93,420,17,中国大陆,汉语普通话,剧情,剧情,刘烨,陶虹
