name,url,rate,box,director,writer,actor,genre,place,language,releasedate,movietime
大侦探福尔摩斯,https://movie.douban.com/subject/2998270/,7.6,73800000,盖·里奇,迈克尔·罗伯特·约翰逊,小罗伯特·唐尼/裘德·洛/瑞秋·麦克亚当斯/马克·斯特朗/凯利·蕾莉,动作/悬疑/惊悚/犯罪/冒险,美国/德国,英语/法语,2010-02-25,128
邻家特工,https://movie.douban.com/subject/3179758/,6.2,64100000,布莱恩·莱温特,乔纳森·伯恩斯坦,成龙/安贝·瓦莱塔/玛德琳·卡罗尔/卢卡斯·提尔/阿琳娜·福利/维尔·桑德里/凯瑟琳·波切尔/比利·雷·赛勒斯/乔治·洛佩兹,喜剧/动作/家庭,美国,英语,2010-01-15,94
名侦探柯南：漆黑的追踪者,https://movie.douban.com/subject/3387546/,7.4,8150000,山本泰一郎,古内一成,高山南/山崎和佳奈/神谷明/林原惠美/山口胜平,动画/悬疑,日本,日语,2010-01-14,107
阿凡达,https://movie.douban.com/subject/1652587/,8.7,1350000000,詹姆斯·卡梅隆,詹姆斯·卡梅隆,萨姆·沃辛顿/佐伊·索尔达娜/西格妮·韦弗/史蒂芬·朗/米歇尔·罗德里格兹/吉奥瓦尼·瑞比西/乔·大卫·摩尔/希·庞德/韦斯·斯塔迪/拉兹·阿隆索/迪利普·劳/马特·杰拉德/肖恩·安东尼·莫兰,动作/科幻/战争/冒险,美国/英国,英语/西班牙语,2010-01-04,162
智取威虎山,https://movie.douban.com/subject/10343115/,3.3,500000,陈志宏,,李扬,动画/历史,中国大陆,汉语普通话,2011-12-30,85
极速先锋,https://movie.douban.com/subject/6863979/,2.6,450000,蓝志伟,郭爽,邱胜翊/林爽/三浦贵大/马羚/刘惠/吴毅将/李广博/包贝尔/邓天晴,剧情/动作/爱情,中国大陆/日本,汉语普通话,2011-12-23,90
新月魅影,https://movie.douban.com/subject/7052403/,2.7,1200000,黄柏基,贺鑫,陈龙/黄俊淇/孙佺/杨旸/罗梓瑄/秦子涵/钟弦/张佳楠,悬疑/惊悚/恐怖,中国大陆,汉语普通话,2011-12-20,85
双人床条约,https://movie.douban.com/subject/6849069/,5.2,1600000,吴卫东,吴卫东,耿乐/刘威葳/王豪/郑佩佩/谢园/李彧/常蓝天/张恩齐/瞿颖,喜剧/爱情,中国大陆,汉语普通话,2011-12-30,93
2012来了,https://movie.douban.com/subject/6974521/,3.5,2210000,邢潇,邢潇,田中千绘/黄又南/黄小蕾/胡明/戎祥/李菁/李承炫,剧情/喜剧,中国大陆,汉语普通话,2011-12-31,100
玩命狙击,https://movie.douban.com/subject/7056769/,3.2,7500000,郭桂成,殷慧君,余文乐/乌汶叻公主/查克利·彦纳姆/胡杰克/吴丽嫦,动作/犯罪,泰国,汉语普通话/粤语/泰语/英语,2011-12-30,90
深度谜案,https://movie.douban.com/subject/1950192/,6.7,18050000,阿莱克斯·德·拉·伊格莱西亚,阿莱克斯·德·拉·伊格莱西亚,伊莱贾·伍德/约翰·赫特/蕾欧诺·瓦特林/朱莉·考科斯/吉姆·卡特/亚力克斯·考克斯/伯恩·戈曼/多米尼克·皮侬/安娜·玛西/丹尼·萨帕尼/艾伦·戴维/TimWallers/JamesWeberBrown/IanEast/CharlotteAsprey,悬疑/惊悚/犯罪,西班牙/英国/法国,英语,2011-12-31,108
梦宅诡影,https://movie.douban.com/subject/3818565/,6.2,17450000,吉姆·谢里丹,David Lucas,丹尼尔·克雷格/蕾切尔·薇兹/娜奥米·沃茨/马尔顿·索克斯/泰勒·吉蕾/蕾切尔·福克斯/林恩·格里芬/简·亚历山大/莎拉·加顿,剧情/悬疑/惊悚,美国,英语,2011-12-29,92
倾城之泪,https://movie.douban.com/subject/6738760/,4.9,42400000,黄真真,郑丹瑞,周冬雨/李治廷/任贤齐/梁咏琪/窦骁/陈乔恩,剧情/爱情,中国大陆,汉语普通话,2011-12-22,108
极速天使,https://movie.douban.com/subject/5256418/,5.0,23900000,马楚成,马楚成,汤唯/刘若英/林志颖/韩在硕/张柏芝/姜武/田中千绘/郑佩佩/北村一辉/程伊/何炅,剧情/动作,中国大陆/香港,汉语普通话,2011-12-27,117
亲密敌人,https://movie.douban.com/subject/6062731/,5.6,110390000,徐静蕾,王芸,徐静蕾/黄立行/梁咏琪/钟丽缇/赵宝刚/王敏德/李治廷/刘仪伟/苏小明/李艾/林源/陈奂仁/尹子维,剧情/爱情,中国大陆,汉语普通话/英语/粤语,2011-12-23,98
