name,rate,rating_people,director,writer,actor,genre,place,language,year,movietime
屋顶上的男孩,8.1,1263,尼克·卡斯特尔,尼克·卡斯特尔,露西·狄更斯/杰伊·安德伍德/弗莱德·萨维奇,家庭/奇幻,美国,英语,1986,114
天使之心,7.1,1464,艾伦·帕克,威廉·乔兹伯格,罗伯特·德尼罗/米基·洛克/莉莎·博内特/夏洛特·兰普林/斯托克·丰特列乌/布朗尼·麦吉/迈克尔·希金斯/埃利奥特·基纳/查尔斯·戈登/达恩·弗洛莱克/凯瑟琳·威尔霍特,悬疑/惊悚/恐怖,美国/加拿大/英国,英语/法语,1987,113
小男人周记,6.6,1283,陈嘉上,陈庆嘉,郑丹瑞/郑裕玲/钟楚红/文隽/李美凤/胡慧中/张坚庭/邓萃雯,喜剧/爱情,香港,粤语,1989,93
女煞葛洛莉,7.6,1508,约翰·卡萨维蒂,约翰·卡萨维蒂,朱莉·卡门/吉娜·罗兰兹/JohnAdames,剧情/惊悚/犯罪,美国,英语,1980,123
靓妹仔,7.0,1739,黎大炜,文隽,林碧琪/温碧霞/麦德和,剧情,香港,粤语,1982,96
谁是鬼?,6.4,1447,蓝乃才,梁鸿华,王晶/王祖贤/冯淬帆/高丽虹,喜剧/恐怖/奇幻,香港,粤语,1986,86
深坑、钟摆和希望,8.3,1323,杨·史云梅耶,杨·史云梅耶,,动画/奇幻,捷克斯洛伐克,捷克语,1984,14
小小小警察,6.8,1410,曾志伟,司徒卓汉,曾志伟/刘德华/莫少聪/吴君如/张曼玉/岑建勋/冯淬帆/谭咏麟/陈百祥/苗侨伟/张学友/恬妞/吴耀汉/郑则仕/陈友/午马/李丽珍/柯受良/张坚庭/尔冬升/郑丹瑞,剧情/喜剧,香港,粤语,1989,90
摩登仙履奇缘,6.2,1320,王晶,王晶,张曼玉/陈百祥/王晶/汪禹/陈友/许英秀,喜剧/爱情,香港,汉语普通话,1985,88
笔中情,8.5,1519,颜碧丽,蒋迅,迟重瑞/王伯昭/张闽/赵静/朱碧云,剧情/动作/爱情/古装,中国大陆,普通话,1982,96
时光大盗,6.8,1392,特瑞·吉列姆,麦克·帕林,约翰·克立斯/肖恩·康纳利/谢莉·杜瓦尔/凯瑟琳·海蒙德/伊安·霍姆/麦克·帕林,喜剧/科幻/悬疑/惊悚/家庭/奇幻/冒险,英国,英语,1981,116
忏悔,8.2,1692,钦吉兹·阿布拉泽,钦吉兹·阿布拉泽,阿福坦迪尔·马哈拉泽/YaNinidze/ZeinabBotsvadze/KetevanAbuladze/DavidGiorgobiani/KakhiKavsadze/梅拉布·尼尼泽/NinoZakariadze/NanoOchigava,剧情,苏联,格鲁吉亚语/俄语/意大利语/德语,1984,153
警察学校4：全民警察,7.0,1368,Jim Drake,尼尔·伊斯雷尔,斯蒂夫·古根伯格/布巴·史密斯/迈克尔·温斯洛/大卫·格拉夫/蒂姆·卡祖林斯基/莎朗·斯通/莱斯利·伊斯特布鲁克/马里昂·拉姆塞/兰斯·金赛/G.W.拜利/博卡·格德斯维特/乔治·盖恩斯/德里克·麦克加特/斯科特·汤姆森/BillieBird/GeorgeR.Robertson/BrianTochi/布赖恩·巴克尔/大卫·斯佩德/TabThacker/科琳·波赫雷,喜剧/动作/犯罪,美国,英语,1987,88
捉鬼大师,6.3,1384,萧荣/罗文,王晶,郑则仕/张学友/陈百祥/冯淬帆,喜剧/恐怖,香港,粤语,1989,93
百变神偷,7.5,1374,梁治强,梁治强,淳于珊珊/周里京/剧雪/刘旭凌/计春华,喜剧,中国大陆,汉语普通话,1989,97
苍白骑士,7.3,1445,克林特·伊斯特伍德,Michael Butler,克林特·伊斯特伍德/迈克尔·莫里亚蒂/卡丽·斯诺格丽丝/克里斯·潘/理查德·戴萨特/西德尼·潘妮/理查德·基尔,动作/西部,美国,英语,1985,115
八喜临门,7.1,1341,冯世雄,高志森,吴耀汉/冯宝宝/吕方/罗美薇/楼南光/陈百强/李丽珍/关佩琳,剧情/喜剧/家庭,香港,粤语,1986,89
费城实验,7.0,1415,斯图尔特·拉菲尔,Charles Berlitz,迈克尔·帕尔/南茜·艾伦/EricChristmas,剧情/爱情/科幻/奇幻/冒险,美国,英语,1984,102
飞越巅峰,7.6,1452,米纳罕·戈兰,斯特林·西利芬特,西尔维斯特·史泰龙/罗伯特·劳吉亚/苏珊·布莱克利/RickZumwalt/大卫·门登霍尔,剧情/动作/家庭/运动,美国,英语,1987,93
吝啬鬼,8.3,1384,路易·德·菲奈斯/让·吉罗,路易·德·菲奈斯,LouisdeFunès/FrankDavid/HervéBellon,喜剧,法国,法语,1980,125
迷幻牛郎,7.1,1232,格斯·范·桑特,格斯·范·桑特,马特·狄龙/凯莉·林奇/詹姆斯·勒格罗/海瑟·格拉汉姆,剧情/犯罪,美国,英语,1989,102
九日女王,7.8,1329,特雷弗·纳恩,Chris Bryant,海伦娜·伯翰·卡特/加利·艾尔维斯/JohnWood/莎拉·克斯托曼/帕特里克·斯图尔特/乔斯·雅克兰德/ZelahClarke,剧情/传记/历史,英国,英语,1986,136
邮差总按两次铃,7.0,1353,鲍勃·拉菲尔森,大卫·马梅,杰克·尼科尔森/杰西卡·兰格/约翰·科里考斯/迈克尔·勒纳/安杰丽卡·休斯顿,剧情/爱情/惊悚/犯罪,美国/原西德,英语,1981,122
上班女郎,7.1,1371,迈克·尼科尔斯,凯文·韦德,哈里森·福特/西格妮·韦弗/梅兰尼·格里菲斯/亚历克鲍德温(AlecBaldwin),剧情/喜剧/爱情,美国,英语,1988,113
鬼龙院花子的一生,7.7,1377,五社英雄,高田宏治,仲代达矢/岩下志麻/夏目雅子/中村晃子/佳那晃子/夏木真理/新藤惠美/内田良平/小泽荣太郎/诚直也/仙道敦子/内田稔,剧情,日本,日语,1982,146
欲望之翼,6.2,1148,丁度·巴拉斯,谷崎润一郎,弗兰克·芬莱/斯特法尼娅·桑德雷利,剧情/情色,意大利,意大利语,1983,116
龙之家族,6.4,1197,刘家荣,陈树帜,谭咏麟/刘德华/莫少聪/苗侨伟/柯俊雄/汤镇业/张国强/郑则仕/徐少强/惠英红/焦姣/刘家荣/成奎安/高飞/冯淬帆/何家驹/曹查理/柯受良/林迪安/卢雄/白文彪/徐宝华/麦伟章/谷峰,动作/犯罪,香港,粤语,1988,91
难兄难弟,7.1,1251,麦嘉,黄百鸣,石天/吴耀汉/叶丽仪/钟楚红/劉詩康/王青/石燕子/郑孟霞/冯敬文/林子祥/徐克/泰迪·罗宾/麦嘉/张艾嘉/曾志伟/谭咏麟,喜剧,香港,粤语,1982,92
大上海1937,7.3,1361,张彻,阮亦正,徐小健/董志华/孙懿雯/王明晟/王正军/杜玉明,剧情/动作,香港,粤语,1986,90
小狐仙,7.3,1335,陈勋奇,王家卫,陈勋奇/倪淑君,剧情/喜剧,香港,粤语,1985,99
心灵的冒险,7.9,1390,约翰·霍克,Barbara Cartland,黛安娜·里格/爱德华·福克斯/海伦娜·伯翰·卡特/马库斯·吉尔伯特,剧情/爱情,英国,英语,1987,90
古都,7.7,1332,市川昆,市川昆,山口百惠/三浦友和/岸惠子/泉淳/北诘友树,剧情,日本,日语,1980,125
全家福,7.7,1337,石天,李俊,小彬彬/许冠杰/郑文雅/甄妮,剧情/喜剧,香港,粤语,1984,97
坠入情网,7.7,1382,乌鲁·格罗斯巴德,迈克尔·克里斯托弗,罗伯特·德尼罗/梅丽尔·斯特里普/哈威·凯特尔/黛安·韦斯特/杰西·布拉德福特,剧情/爱情,美国,英语,1984,106
十三号星期五2,6.0,1292,史蒂夫·迈纳,Ron Kurz,AmySteel/JohnFurey/艾德里安娜金/WarringtonGillette,惊悚/恐怖,美国,英语,1981,87
丹尼玫瑰,7.6,1317,伍迪·艾伦,伍迪·艾伦,米亚·法罗/伍迪·艾伦/尼克·阿波罗·福特,喜剧,美国,英语/意大利语/意第绪语,1984,84
