name,rate,rating_people,director,year,movietime,main_country,main_language,main_genre,second_genre,main_actor,second_actor
多大事啊,6.1,1581,韩秋池,2008,99,中国大陆,汉语普通话,剧情,喜剧,朱雨辰,张俪
大牌明星,7.6,1498,保罗·索伦蒂诺,2008,110,意大利,意大利语,剧情,动作,托尼·塞尔维洛,安娜·博纳奥图
长岛迷情,6.8,1419,迈克尔·科斯塔,2001,97,美国,英语,剧情,同性,保罗·达诺,布鲁斯·奥尔特曼
肥佬教授2,5.9,1392,Peter Segal,2000,106,美国,英语,喜剧,科幻,艾迪·墨菲,珍妮·杰克逊
炽爱,7.8,1552,Ferzan Ozpetek,2007,110,意大利,意大利语,剧情,同性,PierfrancescoFavino,MargheritaBuy
双重时间,6.6,1558,Giuseppe Capotondi,2009,95,意大利,意大利语,剧情,悬疑,KseniyaRappoport,FilippoTimi
幻想之地,6.7,1506,凯瑞·柯克帕特里克,2009,109,美国,英语,剧情,喜剧,艾迪·墨菲,托马斯·哈登·丘奇
应援团少女,6.4,1606,渡边谦作,2008,114,日本,日语,喜剧,喜剧,新垣结衣,内藤刚志
美国处女,5.0,1547,克莱尔·基尔纳,2009,98,美国,英语,喜剧,喜剧,RobSchneider,JennaDewan
哈啦猛男秀,6.7,1489,迈克·米切尔,1999,88,美国,英语,喜剧,喜剧,罗伯·施奈德,阿里加·巴利吉斯
沙罗双树,7.7,1450,河濑直美,2003,94,日本,日语,剧情,剧情,福永幸平,兵头佑香
安琪拉的灰烬,8.3,1591,艾伦·帕克,1999,145,美国,英语,剧情,剧情,艾米丽·沃森,罗伯特·卡莱尔
给不知何时的你,6.6,1487,堀江慶,2007,67,日本,日语,剧情,爱情,斉藤工,河合龍之介
迷失：过去，现在与未来,8.8,1476,Jack Bender,2008,60,美国,英语,剧情,剧情,迈克尔·爱默生,迈克尔·爱默生
哭泣的女人,7.8,1452,刘冰鉴,2002,90,韩国,汉语普通话,剧情,喜剧,廖琴,韦兴坤
萨德侯爵,6.4,1718,伯努瓦·雅克,2000,100,法国,法语,剧情,传记,丹尼尔·奥特伊,玛丽安娜·德尼库尔
尘世之间,8.0,1426,迈克尔·温特伯顿,2002,88,英国,普什图语,剧情,剧情,JamalUdinTorabi,Enayatullah
偶像有约,5.9,1528,罗伯特·路克蒂克,2004,95,美国,英语,喜剧,爱情,凯特·波茨沃斯,乔什·杜哈明
奇逢敌手,5.5,1441,林岭东,2003,101,香港,粤语,剧情,喜剧,舒淇,安志杰
人生驾驶课,7.4,1496,Jeremy Brock,2006,98,英国,英语,剧情,喜剧,劳拉·琳妮,鲁伯特·格林特
超完美地狱,7.7,1505,杨斯·连恩,2006,95,挪威,挪威语,剧情,喜剧,斯荣德·福斯·奥瓦格,佩特妮拉·巴克
一样的月光,8.1,1533,派翠西亚·里根,2007,106,美国,英语,剧情,剧情,凯特·德尔·卡斯蒂洛,杰西·加西亚
摇滚多多,7.3,1259,高巍,2006,107,中国大陆,汉语普通话,音乐,音乐,崔健,丁武
谋杀快乐,6.7,1512,姜景勋,2007,94,韩国,韩语,剧情,喜剧,艺智苑,林元熙
天空之Escaflowne,7.4,1608,赤根和樹,2000,110,日本,日语,剧情,动作,坂本真绫,关智一
光复节特赦,7.3,1556,金相辰,2002,121,韩国,韩语,喜剧,喜剧,车胜元,薛耿求
死神有约：死后的生活,5.9,1569,斯蒂芬·赫瑞克,2009,87,美国,英语,剧情,喜剧,亨利·伊安·库斯克,艾伦·穆斯
电话情缘,6.7,1506,James Dodson,2008,106,美国,英语,喜剧,爱情,杰西·麦特卡尔菲,施芮娅·萨兰
背鸭子的男孩,7.2,1400,应亮,2005,100,中国大陆,四川话,剧情,剧情,徐鋆,刘晓培
置之死地而后生,6.2,1536,约翰·赫兹菲尔德,2007,97,美国,英语,剧情,动作,保罗·沃克,劳伦斯·菲什伯恩
坏家伙,6.2,1492,隅田靖,2007,109,日本,日语,喜剧,喜剧,松田翔太,新垣结衣
